"year","country","location","co2_emissions"
2022,"Kuwait","Jenniferton",182.1312203487651
2016,"Fiji","Johnsonview",222.1049428058569
2009,"Lithuania","Gallagherland",226.37025027681872
2006,"United Arab Emirates","East Alex",239.63043148371253
2002,"Cook Islands","South Alejandra",241.21969469715185
2018,"Turkmenistan","Dixonfurt",241.60733825144155
2004,"Japan","Morsetown",243.1025211019578
2003,"Latvia","Rachelfurt",243.45617585971573
2006,"Guam","Port Andrewburgh",244.3382992039848
2018,"Dominican Republic","Shannonland",245.3056318760784
2003,"Swaziland","West Justinton",245.3199930083568
2006,"Ukraine","Port Robert",245.5107932964503
2022,"Tanzania","North Nancyton",248.69493293104645
2000,"Comoros","West Davidberg",249.00594362639424
2017,"Bermuda","Williamshaven",249.84695739560976
2017,"Isle of Man","East Erikport",249.9380472803397
2016,"Guadeloupe","Thomasmouth",251.0400051603242
2004,"Bouvet Island (Bouvetoya)","Conleymouth",251.68954258647707
2020,"Central African Republic","Gonzalezshire",252.5663587620604
2003,"United States Virgin Islands","North Jason",252.72976951565917
2022,"Finland","North Brandon",254.58275915182108
2008,"Netherlands","Sanchezport",254.68594605348167
2007,"Cote d'Ivoire","Jonesland",254.81924849815587
2012,"French Guiana","Bentleyborough",255.24565521961097
2017,"Falkland Islands (Malvinas)","New Kimberlyberg",256.5583630793568
2012,"Tajikistan","Lake Caitlin",257.13783784025946
2021,"Lithuania","West Nicholas",258.7517042910714
2010,"Ireland","Lake John",259.52208455792595
2015,"Iran","Lauramouth",259.60486487021774
2001,"Uganda","South William",259.81952832754035
2014,"Tajikistan","West Sarah",261.3206670811693
2009,"Myanmar","South Rachaelberg",261.66721012123634
2000,"Yemen","South Jeffreyfort",261.7394544290687
2015,"Cape Verde","West Brian",261.74718269079483
2001,"Australia","Wilsonshire",261.99009477927626
2021,"Estonia","Froststad",264.06782837836886
2021,"Hungary","New Nicholas",264.1687998955042
2002,"Estonia","Frostfort",264.17662784983713
2011,"Serbia","Perezville",264.40421723911584
2020,"Zambia","Lake Kristin",264.7803666861145
2002,"Korea","South Natasha",264.8289004537966
2010,"Cayman Islands","Griffinburgh",265.5101273726382
2002,"Poland","South Alvin",265.7862694597068
2008,"Czech Republic","West Kelly",266.07182191783977
2009,"Taiwan","Harrisfort",266.51863927987046
2005,"Benin","Lake Shelleyburgh",267.4725738688069
2002,"Cyprus","South Brianna",268.1643498946864
2005,"Fiji","Pacechester",268.1891728395559
2020,"Slovakia (Slovak Republic)","Bernardville",268.2759025414466
2020,"Haiti","Pattonberg",268.649887810948
2020,"Faroe Islands","Brooksville",268.6526637154172
2012,"Poland","Lake Laura",268.9986098401454
2020,"Ethiopia","New Robert",269.0986688698879
2005,"Lesotho","Lake Kevinshire",269.36621188851313
2020,"Algeria","East Rachelmouth",269.43199620285213
2017,"Grenada","Lake Christy",270.6377439716058
2008,"Morocco","Smithton",270.9021953628689
2008,"Cuba","South Collin",271.1837711220809
2000,"Norway","Sonyachester",271.6897417674133
2008,"Bulgaria","Perezfurt",271.8696266366728
2004,"Lebanon","Parkertown",272.1413521766416
2011,"Syrian Arab Republic","Lake Justinton",272.36046782195814
