"year","country","location","precipitation"
2001,"Norfolk Island","East Michele",0.0101426705857776
2006,"Namibia","Stewartborough",0.0134332395176461
2005,"New Caledonia","South Charles",0.0152581681525432
2012,"Isle of Man","Nguyenborough",0.0194366016871394
2016,"Suriname","Kevinmouth",0.0343798769221193
2016,"Benin","Port Laurenhaven",0.0351838601596932
2016,"Andorra","Jenniferside",0.0368064350049213
2000,"Moldova","Harperchester",0.0376719406294134
2001,"Antarctica (the territory South of 60 deg S)","Barnesborough",0.0578655019661811
2017,"Tanzania","North Jessicaport",0.060092872595141
2022,"Tonga","East Maryshire",0.0631934632958963
2010,"Vanuatu","East Carla",0.0813139076785818
2013,"India","West Williemouth",0.0949756286713121
2005,"Turkey","Richardmouth",0.1149919563184997
2021,"Angola","Mayfurt",0.1185506088732468
2008,"Croatia","North Tiffany",0.1363025564622977
2017,"Burundi","East Charles",0.137189111480307
2008,"Albania","Port Karentown",0.1462223384493977
2001,"Bouvet Island (Bouvetoya)","North Cynthiaborough",0.1480776868230782
2012,"Solomon Islands","Jameschester",0.1587180506785412
2020,"Zambia","East Jill",0.1661459640851514
2004,"Haiti","Amyfort",0.1662101574990915
2022,"Spain","Port Joshuaberg",0.1707495866163144
2005,"Colombia","Port Bryanside",0.1826223359253975
2007,"Libyan Arab Jamahiriya","Jeremyland",0.18490879424925
2020,"Cyprus","Cannonhaven",0.1863462286904593
2010,"Saint Lucia","Port Andrew",0.1992314323441268
2017,"Paraguay","Danielletown",0.1993950835613267
2012,"Luxembourg","Edwardsfurt",0.2295150177733962
2003,"Timor-Leste","North Timothyhaven",0.2605761495611203
2018,"Eritrea","Woodview",0.2668770588924118
2022,"Uzbekistan","Lake Robert",0.2780035819693882
2010,"Guernsey","Port Stephenton",0.278984773237001
2008,"Faroe Islands","Scottbury",0.2910209925472196
2012,"Armenia","West Heatherland",0.2990438770030468
2022,"Russian Federation","Bowersfort",0.3056901823762281
2009,"Djibouti","Ramseyview",0.3181863341501056
2012,"Slovakia (Slovak Republic)","Kellymouth",0.3286160899733326
2017,"Denmark","Aguirreberg",0.3318485497559309
2006,"Indonesia","Lake Benjamin",0.3528354260575184
2002,"Heard Island and McDonald Islands","Port Josephburgh",0.3546411769071333
2015,"China","Johnsonport",0.3574118636149981
2011,"Iran","East Danielport",0.3760400908545236
2006,"Pakistan","Lake Andrew",0.391557704863299
2022,"Heard Island and McDonald Islands","West Jane",0.4120893190338481
2006,"Bermuda","Port April",0.4172149983880269
2006,"Iceland","Huynhburgh",0.4196592137479249
2005,"Yemen","Port Luke",0.4547207466658154
2016,"El Salvador","Mcdanielchester",0.4605131412711793
2021,"Italy","Carlsonhaven",0.4709051149378251
2006,"Greenland","Coxshire",0.4754265066114205
2004,"Turkey","Ericville",0.4829329807531368
2000,"Saint Lucia","Hernandezview",0.492895658273329
2007,"Pitcairn Islands","East Elizabethview",0.4990497677314631
2015,"Angola","Port Alan",0.5008506203043495
2014,"Lesotho","Jonathantown",0.5082459817871476
2022,"Saint Pierre and Miquelon","New Melissa",0.5460884484500661
2020,"Saint Martin","Brownton",0.5465215258116718
2020,"Indonesia","Port Davidville",0.5541890482930745
2006,"Ethiopia","Port Karl",0.5546731877553834
2007,"Azerbaijan","Cookechester",0.5568544983796442
2002,"Slovenia","Reginaldtown",0.5623100953109805
2013,"Saint Kitts and Nevis","Lake Robertshire",0.5814603098152182
2011,"Montenegro","Port Randallton",0.5851513743921788
2003,"Gambia","Austinland",0.602509283684971
2012,"Wallis and Futuna","New Russell",0.6048615982283123
2015,"Algeria","North Marioburgh",0.6082281955830382
2009,"Norway","Sheilatown",0.6191522855771514
2020,"Colombia","East Michaelside",0.6523009462322982
2000,"Costa Rica","New Christianbury",0.6656289760804568
2016,"Liechtenstein","Freemanview",0.6717295093620401
2010,"Australia","Graychester",0.6794301305222183
2018,"Oman","Jenniferport",0.6838654020946189
2021,"Iraq","Cassandraville",0.6839039023934901
2020,"Romania","Danabury",0.6911159458536265
2022,"Georgia","New Angela",0.6928697994135868
2000,"Equatorial Guinea","Kristinafort",0.7187429095846909
2014,"Congo","West Robert",0.7216942088414058
2005,"Cuba","Barrettmouth",0.7244086254594606
2019,"Sao Tome and Principe","Christinafurt",0.724689433583503
2014,"Kenya","Heatherfort",0.7336544953492119
2001,"Mauritius","Aguilarfort",0.7534959101475169
2003,"Nicaragua","Stephaniehaven",0.7632520093647011
2022,"Guinea","North Ronald",0.7707370989720741
2003,"Albania","Riversbury",0.780391853587481
2003,"Somalia","West Lisaton",0.8144225442947128
2021,"Pakistan","Lake Jacqueline",0.8327312634858086
2009,"Singapore","Amberchester",0.8401376378921133
2020,"Kenya","Josephstad",0.848431775209324
2014,"Italy","Edwardport",0.8595533588162785
2015,"Iran","Aliberg",0.8646608289866076
2004,"Niger","New Brenda",0.8652422525145975
2019,"Croatia","East Frankmouth",0.8737068956540139
2021,"Dominica","Lake Elizabethtown",0.8791053051618314
2004,"Jordan","Port Jennifer",0.8889017982011027
2001,"Marshall Islands","West Bridgetborough",0.8894139752648855
2019,"Cook Islands","Alexandraton",0.8913739679548449
2021,"Chad","East Charlesmouth",0.9042741578608736
2004,"Indonesia","Johnport",0.927884196242379
2004,"Japan","Anatown",0.9333415638608789
