"year","country","location","wind_speed"
2019,"Peru","West Laura",0.0017323274571046
2020,"Vietnam","New Jacquelinetown",0.0036682396500731
2017,"Ecuador","Perezton",0.0042129057774287
2000,"Bermuda","North Kristopherland",0.0045257977717205
2004,"Gibraltar","East Alexander",0.0125156839655637
2010,"Cayman Islands","Hillmouth",0.0135045539480072
2008,"Serbia","Fryside",0.0204069012421093
2018,"Turks and Caicos Islands","Millston",0.0213169875035335
2007,"Central African Republic","Port Sandra",0.0254638100490811
2004,"Russian Federation","South Natalie",0.0271793414317766
2008,"Tonga","North William",0.0449502583355077
2018,"Turks and Caicos Islands","Michealside",0.0473977425951288
2009,"Chile","Piercefort",0.0509067198935841
2021,"Macao","Mariachester",0.0542910438146193
2016,"Dominica","Klineton",0.0545196158006744
2014,"Korea","Port Bryanland",0.0569244815523339
2020,"Guatemala","Port Danielleland",0.0583465465505639
2019,"Guatemala","Port Sarahchester",0.0657553943789468
2017,"Cambodia","Colemanchester",0.0669161812478724
2000,"Heard Island and McDonald Islands","Anthonychester",0.0708069801701849
2018,"China","Port Ninaburgh",0.0757693503989576
2000,"Israel","Lawsonmouth",0.0823477712562081
2012,"United States Minor Outlying Islands","Annamouth",0.0834159972633252
2015,"Angola","Port Alan",0.0858066127183143
2022,"Yemen","South Melanieburgh",0.0876680888348246
2014,"New Zealand","Billychester",0.0902784990545302
2001,"Costa Rica","South Darren",0.0959435775305272
2022,"Burkina Faso","Deanchester",0.0987430220004692
2012,"Equatorial Guinea","Colinland",0.0987537477462052
2015,"San Marino","New Ralph",0.122903872134833
2015,"Swaziland","New Moniquefort",0.1315681068603358
2013,"Cameroon","Ronaldmouth",0.1339568240854072
2010,"Ethiopia","Gomezside",0.1365026378598532
2021,"Greenland","New Ashley",0.1390344399636811
2021,"Reunion","Kristashire",0.1404688913726082
2010,"Austria","South Robert",0.143587168440995
2015,"Uzbekistan","Williamland",0.1462294846273415
2010,"Myanmar","East Kristen",0.1490881384278775
2012,"Lebanon","West Keith",0.1593287376973673
2017,"Zimbabwe","Williamsport",0.160650813509211
2021,"Holy See (Vatican City State)","Kevinberg",0.1617306282860442
2007,"Cote d'Ivoire","Jonesland",0.1706380860642453
2009,"Trinidad and Tobago","Lihaven",0.1715702711059974
2004,"Iceland","Jefferyfort",0.1725725713332015
2020,"Netherlands Antilles","East Claire",0.1747784235929306
2016,"Honduras","Lake Christina",0.186132251461446
2003,"Libyan Arab Jamahiriya","Reyesview",0.1862238501344537
2006,"Belarus","Harrisland",0.1868985500197872
2000,"Colombia","Charlesview",0.187537929652809
2001,"Montserrat","North Bobby",0.1942232703455781
2017,"Falkland Islands (Malvinas)","Gainesville",0.1990684161410294
2017,"Sudan","Davidfort",0.2070484738487366
2013,"Gibraltar","Elizabethport",0.2252513305949777
2013,"Korea","Priceville",0.2284302041466679
2000,"Chad","West Rachel",0.2590971376655593
2015,"Romania","New George",0.2647889570191464
2018,"United States Virgin Islands","Navarroborough",0.2753473194080813
2002,"Turks and Caicos Islands","Victoriachester",0.2773889300798804
2012,"Lesotho","East Denisehaven",0.2795685202138187
2022,"Nicaragua","Kennethport",0.2821090522230562
2007,"United States of America","East Nicole",0.2831561673909744
2019,"Lao People's Democratic Republic","East Billymouth",0.2865413450778897
2020,"Kenya","Josephstad",0.2961152869140893
2003,"Switzerland","West Jennifer",0.2999348941969293
2010,"American Samoa","South Lisamouth",0.3007525344642381
2020,"Bhutan","North Derekchester",0.3065167763633802
2022,"Armenia","West Stephanieview",0.3066554397371024
2017,"New Zealand","New Ian",0.3115456779825332
2014,"Kiribati","West Joseph",0.3128059988376841
2009,"Turks and Caicos Islands","West Sharon",0.3180701119880003
2020,"Algeria","East Rachelmouth",0.3210045221205604
2021,"Guinea","South Alicia",0.3391270505976984
2017,"Bhutan","New Michaelland",0.3459820735657426
2020,"Montserrat","Mcbridechester",0.3483287644503618
2012,"Tonga","Solishaven",0.3502321022332832
2007,"Thailand","New Nicholasstad",0.3517366953227741
2013,"Bhutan","West Jennifer",0.3518524109596299
2008,"Luxembourg","Rachelport",0.3572293245148128
2018,"Falkland Islands (Malvinas)","Victoriaview",0.3577271207304944
2009,"Martinique","Lake Jacquelinechester",0.3593756875420795
2001,"Argentina","New Kellyfort",0.3665360085468694
2022,"United States of America","Lake Joanna",0.3686568183561167
2009,"Netherlands Antilles","Christinaside",0.3695934438217363
2022,"Bahamas","Ayalatown",0.4007729362658807
2018,"Ghana","Gillespieborough",0.4147308404053307
2019,"Latvia","New Stacyton",0.421835740848886
2002,"Uganda","Carterview",0.4268200493797058
2001,"Sao Tome and Principe","Watsonshire",0.4308851109252554
2002,"Saint Lucia","Shirleyfort",0.4346395103782596
2007,"Cameroon","Lake David",0.4376922739755873
2013,"Suriname","East Jamesborough",0.4467920959337179
2011,"Iran","North Aaronhaven",0.4468041652345822
2004,"Samoa","West Anthonyton",0.4591319934996896
2013,"Bahamas","West Josehaven",0.4593042163498873
2010,"Hong Kong","Daltonshire",0.4661254962702976
2018,"Honduras","South Arthur",0.4714816640683628
2018,"Namibia","New Dana",0.4790452137381551
2014,"Liberia","North Billystad",0.4795757486176111
2005,"United States of America","South Christopherfurt",0.4843512156384622
2016,"Papua New Guinea","North Marc",0.4927128346021547
2006,"Palestinian Territory","Lake Kevin",0.4944691360665276
2002,"Antarctica (the territory South of 60 deg S)","New Alexander",0.4992733132886229
2020,"Palau","West Melissaburgh",0.5102398120036544
2007,"South Africa","Alexanderfurt",0.51965749125088
2011,"Antigua and Barbuda","Millerview",0.5467765693232152
2009,"Uganda","Rebeccahaven",0.550147748445956
2007,"Malta","Pricefurt",0.5737482166865426
2005,"Kyrgyz Republic","Phillipston",0.5762618747439607
2004,"Serbia","Martinezbury",0.5879788108573147
2015,"Panama","Allisonport",0.5923705006280477
2011,"Australia","Mclaughlinshire",0.5939626923052554
2013,"Swaziland","Vincentberg",0.6009359376611401
2005,"Azerbaijan","Mooremouth",0.6107828203792298
2017,"Palestinian Territory","Port Ronald",0.6142996751532959
2006,"Bolivia","West Jasontown",0.6199288791320479
2016,"Nauru","Port Wesleyhaven",0.6238546659311284
2004,"Gambia","Port Carlosshire",0.6262216930479125
2019,"French Southern Territories","Richardsonborough",0.6262677550000317
2021,"Sri Lanka","Carolfurt",0.629753893945767
2017,"Tanzania","Lake Yolandachester",0.6433223939859567
2008,"Bahamas","Kristihaven",0.6558837551114804
