"year","country","location","temperature"
2017,"Liechtenstein","East Edward",-3.803588598564197
2002,"Papua New Guinea","East Natalie",-3.7095651082963457
2011,"Cocos (Keeling) Islands","West Scott",-2.921056238666491
2015,"Nigeria","North Cheryl",-2.4875175256735247
2018,"Paraguay","South Christian",-2.338727548876921
2016,"Bouvet Island (Bouvetoya)","Ethanborough",-2.095992597552222
2021,"Finland","East Brittanyside",-1.430583797798409
2010,"Tanzania","New Christopherland",-0.4735076301433398
2000,"Solomon Islands","Harperport",0.1417874583899987
2010,"France","Leachfort",0.1941813437399009
2012,"Gambia","Alanbury",0.2232684029943463
2012,"Guatemala","Knoxstad",0.2634920588734211
2014,"Hong Kong","North Matthewmouth",0.2939524990107074
2022,"Ethiopia","Veronicaborough",0.3121217902080246
2014,"New Zealand","Port Shane",0.3372271079414837
2008,"Burundi","Cherylmouth",0.3936171195138414
2003,"Bahamas","North Annport",0.4354838123640459
2003,"Nigeria","Garrettview",0.4885231082061878
2014,"Reunion","New Joseph",0.7078887861588186
2009,"Montenegro","Mclaughlinside",0.7224531253020956
2015,"Maldives","East Shelbytown",0.7795705576532441
2022,"Poland","Port Amy",0.8083761788595201
2006,"Belarus","Harrisland",0.8553429439128877
2018,"Guadeloupe","Petersonton",0.8571397844104602
2017,"Singapore","North Wendy",0.9486012487080692
2022,"Uganda","Grahamfort",0.965606389218136
2015,"Sao Tome and Principe","Lopezton",1.048325536741789
2014,"Djibouti","Josephstad",1.1666836755534398
2022,"Burkina Faso","Zavalahaven",1.2004661388605076
2012,"Wallis and Futuna","Lake April",1.2111279033164113
2020,"Costa Rica","Shepherdland",1.2482090210354375
2005,"Papua New Guinea","West Roger",1.4282913974713196
2015,"Somalia","Michelleville",1.4639287779944574
2003,"Ecuador","Barryland",1.4685125449430032
2006,"Guatemala","Richardshire",1.469830247517045
2014,"Dominica","Port Christinehaven",1.4712988651805503
2004,"Togo","Lake Leefurt",1.4719099282351102
2020,"British Virgin Islands","Daleside",1.4840017079974448
2021,"Bolivia","Beckerton",1.4862658225005667
2001,"Sao Tome and Principe","Longfort",1.4989156404967918
2019,"Antigua and Barbuda","Port Thomasside",1.5876287201001134
2002,"Armenia","Christophermouth",1.7180023447538506
2006,"Svalbard & Jan Mayen Islands","Ericachester",1.7256051910123291
2007,"Belarus","West Anthony",1.7282073577071737
2018,"Mauritius","South Paul",1.9801123864325945
2009,"Nepal","New Cassandraview",1.9994341707198495
2000,"Honduras","Heiditown",2.052743821570079
2012,"Turkmenistan","Lake Janeshire",2.091764123924733
2004,"Egypt","East Samantha",2.190282263799263
2002,"Denmark","Samanthaside",2.1904879282134377
2002,"Afghanistan","Jenniferland",2.193930972487406
2000,"Libyan Arab Jamahiriya","South Natalieshire",2.228858554949776
2020,"Senegal","Michellemouth",2.2444586565554587
2018,"Panama","Lake Bethview",2.2470359918981497
2010,"Myanmar","East Kristen",2.2634004392824547
2007,"Estonia","Hubbardside",2.2822721339329988
2019,"Aruba","West Johnburgh",2.286274927765477
2022,"New Caledonia","Jasonberg",2.3180227671324545
2000,"Uzbekistan","Torresfort",2.323525983143986
2019,"Mexico","East Angelaburgh",2.33936419653878
2018,"Eritrea","Woodview",2.3536648296024776
2012,"Mayotte","Michaelfurt",2.368115330190024
2006,"Wallis and Futuna","North Mariahaven",2.398101140096669
2003,"Bulgaria","Lake Toddview",2.4355099000016
2005,"Brunei Darussalam","Chenfurt",2.45909374944401
2007,"Armenia","North Eric",2.4989523207066267
2000,"Lao People's Democratic Republic","New Justin",2.49994752660496
2000,"Solomon Islands","Andreamouth",2.5007085054025566
2019,"Guyana","Dianetown",2.511835950561881
2022,"Argentina","North Diana",2.524143590575857
2008,"Tuvalu","Paulahaven",2.610908336356317
2022,"Belgium","South Bobbychester",2.6121882408778045
2001,"Saint Barthelemy","Thompsonton",2.626535911834127
2011,"Namibia","Lake Connieport",2.6907412620077498
2014,"Mauritius","Danielshire",2.69244182862332
2008,"Solomon Islands","Garciaberg",2.7106011073583254
2015,"Korea","Port Tracystad",2.719177207860257
2015,"Iraq","South Lee",2.7492695278166384
2004,"Guyana","South Raymond",2.7763835564320907
2003,"Yemen","Colleenland",2.821295013007301
