"year","country","location","sea_level_rise"
2009,"Tonga","Olsonport",-4.092154970483335
2009,"Denmark","New Meganfurt",-4.016462347280745
2015,"Congo","Hodgesside",-3.760695118555985
2001,"Grenada","Adamland",-3.420127745587609
2002,"Northern Mariana Islands","Port Michaelshire",-3.390989380893419
2010,"Saudi Arabia","Walshburgh",-3.304279415673101
2018,"United Kingdom","Lake Mandy",-3.214206624453581
2002,"Rwanda","East Brent",-3.2115679298954825
2016,"Brazil","Port Edwardton",-3.1785026256845725
2008,"French Polynesia","South Andrewshire",-3.1281978228930654
2012,"Togo","West Brian",-3.112011510787995
2011,"Mozambique","Port Debra",-3.076818484803808
2012,"Myanmar","Port Joel",-3.013472729473428
2020,"Liberia","South Thomasport",-2.986924217879381
2018,"Korea","Timothyside",-2.9835017756047533
2020,"Somalia","West Jessicastad",-2.982419876523816
2020,"Antarctica (the territory South of 60 deg S)","Lake Melissa",-2.9659082013261044
2007,"Lesotho","Port Scott",-2.9405230722043494
2021,"Burkina Faso","Williambury",-2.892443081352439
2020,"United States Virgin Islands","North Jeffrey",-2.880871765428163
2016,"Fiji","Johnsonview",-2.879191232873984
2009,"Guinea-Bissau","West Danielside",-2.872500200346102
2014,"Maldives","West Pamelafurt",-2.869985767036714
2011,"Mayotte","Deborahshire",-2.8580714089377013
2022,"Sierra Leone","West Marthafort",-2.833930120040463
2013,"Saint Kitts and Nevis","Lake Robertshire",-2.830851861791034
2015,"Bahamas","Mckinneyhaven",-2.8295777291836925
2005,"Bermuda","Lake Vanessa",-2.809244314411851
2018,"Cameroon","New Bradleymouth",-2.797721603371558
2002,"French Guiana","North Saramouth",-2.797160462753795
2019,"Belize","New Tracy",-2.793048235123049
2020,"United States of America","Thompsonfort",-2.778221064870713
2013,"Guinea","New Kimberlyland",-2.7666002492568005
2010,"Trinidad and Tobago","Ambertown",-2.7560433235708635
2016,"Cuba","Lake Jamieside",-2.755677579071373
2001,"Papua New Guinea","Brendabury",-2.748278333078473
2020,"Algeria","South Brooke",-2.74558834794026
2006,"Poland","East Colleenside",-2.737879159834377
2002,"Armenia","Kimberlyfurt",-2.7207679442069392
2013,"Suriname","East Jamesborough",-2.719720599832117
2020,"Congo","New Melissaborough",-2.7186912058814805
2010,"Paraguay","North Jennifer",-2.716373712803353
2009,"Ethiopia","Castanedamouth",-2.7055091580073296
2019,"Equatorial Guinea","Lake Barbaraborough",-2.6957873252632485
2001,"Honduras","West Donnafort",-2.694352429429784
2020,"Netherlands","Johnnyfort",-2.6904410948926074
2012,"Netherlands Antilles","Port Annetteside",-2.689113044854101
2008,"Cape Verde","West Edwardfurt",-2.6679778163730927
2000,"Cote d'Ivoire","East Sandyside",-2.662880430688632
2011,"Georgia","Port Reneeburgh",-2.66260239846379
2005,"Azerbaijan","Nicholaston",-2.633186214450817
2020,"Marshall Islands","Stokesmouth",-2.6244593700631973
2008,"Bhutan","Port Kristen",-2.586016789000656
2020,"Bosnia and Herzegovina","Kristenstad",-2.585576653656728
2022,"Vietnam","Santiagotown",-2.583831370758488
2010,"Chile","North Kyletown",-2.569102534557589
2022,"Switzerland","North Shannon",-2.565296523783452
2018,"French Guiana","Port Bryan",-2.561534769246504
2009,"Peru","West Alexaview",-2.5537707501554685
2016,"Micronesia","West Christopherstad",-2.5511023278825817
2006,"Libyan Arab Jamahiriya","New Jose",-2.547089984824866
2006,"Cayman Islands","Carolineborough",-2.5469834628345884
2004,"Trinidad and Tobago","Sandersshire",-2.5321782611465613
2013,"Madagascar","Robinsonport",-2.5267263083739664
2016,"Montserrat","West William",-2.524380696170943
2015,"Canada","Willisbury",-2.5235490193704195
2022,"Denmark","South Robert",-2.5194291976634178
2014,"Mayotte","Jillianside",-2.5122565268140504
2020,"Turks and Caicos Islands","Lake Bianca",-2.5091899535370743
2001,"Marshall Islands","Lake Karen",-2.5079955021664184
2012,"Armenia","Shelbytown",-2.503550170796566
2004,"Norfolk Island","Stevenland",-2.502086892758161
2018,"British Indian Ocean Territory (Chagos Archipelago)","Mooretown",-2.489550661893063
2009,"Kenya","Antoniobury",-2.463488753409992
2020,"Algeria","South Jordanport",-2.45967352502257
2008,"Mozambique","East Stevenview",-2.45872612155312
2002,"Slovenia","Reginaldtown",-2.452458947543233
2005,"Armenia","New Michaeltown",-2.4453203967062014
2002,"Paraguay","Lopezhaven",-2.44368906862407
2000,"Moldova","Lake Thomasfort",-2.4417524827965504
2008,"Togo","Mooneyport",-2.440729559446958
2019,"Gambia","East Jennifer",-2.438730895321516
2015,"Malaysia","Yatesview",-2.433507497567092
2019,"Niue","Crystalmouth",-2.428141993124396
2014,"Egypt","Emilyfurt",-2.4260828159968275
2005,"China","Smithburgh",-2.4208977497211355
2012,"Senegal","Port Melissafurt",-2.4194212723361943
2004,"Mali","Bankschester",-2.418542537230716
2005,"Botswana","Debratown",-2.415629600034244
2019,"Bahamas","Tateberg",-2.413190113152391
2020,"Montserrat","Mcbridechester",-2.4124324434435898
2020,"Dominica","Smithburgh",-2.412285378389478
2001,"Burkina Faso","Port Matthewfort",-2.408251049321129
2008,"Georgia","Lake Amandamouth",-2.40427087185222
2018,"Oman","West Michelemouth",-2.402938581299409
2012,"Tonga","Dayville",-2.40034298869659
2018,"Rwanda","Blackburnburgh",-2.4002124811571948
2004,"Haiti","East Rickyberg",-2.392901818593533
2009,"Slovenia","New Belindafort",-2.382669518726935
2013,"Slovakia (Slovak Republic)","Smithhaven",-2.3642103041393008
2002,"Costa Rica","Leville",-2.3633779080098085
2003,"Bermuda","Port Kevinshire",-2.362573499274356
2007,"Svalbard & Jan Mayen Islands","Millerburgh",-2.3343020810353123
2020,"Bouvet Island (Bouvetoya)","Sallybury",-2.3303632248435635
2016,"Bangladesh","North Devin",-2.329885156634197
2005,"Indonesia","North Moniqueland",-2.32183980211975
2021,"Philippines","East Sara",-2.317595322181782
2004,"Guadeloupe","South Laurashire",-2.31486342953528
2003,"Dominica","Sotoshire",-2.31083787847667
2011,"Grenada","West Christopher",-2.3074338159144427
2019,"Malaysia","Stephenschester",-2.302553738572733
2008,"Cook Islands","Christinafort",-2.30086195718487
2020,"Norway","Vincentmouth",-2.3003389502441016
2015,"Haiti","Joshuastad",-2.293418640381172
2001,"United Arab Emirates","Lake Jasonberg",-2.2888283110978302
2010,"Turkmenistan","Kathrynport",-2.2848572638736724
2004,"Japan","South Brandonport",-2.2740342849660364
2007,"Cuba","New Kaylahaven",-2.2677680497866253
2022,"Central African Republic","Tylershire",-2.259632535940197
2006,"Tajikistan","New Charles",-2.259171924253752
2009,"Afghanistan","Vincentbury",-2.2526713501536024
2012,"Wallis and Futuna","Lake April",-2.244892606451131
2019,"Qatar","East Alan",-2.243561828188376
2007,"Andorra","New Jacob",-2.2430614501001283
2001,"Vanuatu","Rosechester",-2.2425031479170427
2011,"Tanzania","East Christina",-2.237829609602175
2015,"Jordan","Stricklandside",-2.236500484728573
2000,"Tajikistan","Bartonhaven",-2.232079072561156
2002,"Heard Island and McDonald Islands","South James",-2.231668285331125
2012,"Saudi Arabia","Onealburgh",-2.231555795699174
2012,"New Zealand","Comptonshire",-2.227603074765476
2017,"Nauru","Vargastown",-2.2267788664177828
2016,"Kenya","Jenniferchester",-2.223879099740692
2009,"Hungary","Dakotaside",-2.223720572152735
2020,"Nauru","South Jean",-2.22305606198086
2002,"Faroe Islands","South Philipbury",-2.218532447074395
2001,"Congo","Torresfurt",-2.2181267609797573
2020,"Serbia","East Rachel",-2.2181256189717966
2017,"Guadeloupe","Davidshire",-2.2153006999360465
2021,"Costa Rica","Oliverview",-2.213848650580504
2009,"Panama","Anneburgh",-2.213355355465275
2001,"Hong Kong","North Kimview",-2.20696856465712
2011,"Switzerland","Paulchester",-2.204241207742534
2009,"Palau","West Robertmouth",-2.202423079819317
2012,"Guatemala","Millerburgh",-2.201629319434534
2012,"Bhutan","Port Stephen",-2.200012534053018
2019,"Equatorial Guinea","North Tina",-2.19635825491918
2022,"Lao People's Democratic Republic","Clarkfurt",-2.1942749164498325
2005,"Cayman Islands","Port Gregory",-2.192931469383893
2013,"Saint Helena","New Tina",-2.19194375303506
2000,"Saint Lucia","North Jameshaven",-2.188177978949901
