Date,Location,Country,Temperature,CO2 Emissions,Sea Level Rise,Precipitation,Humidity,Wind Speed
00:00.0,New Williamtown,Latvia,10.68898596,403.1189025,0.717506028,13.83523694,23.63125622,18.492026
09:43.3,North Rachel,South Africa,13.81443029,396.6634993,1.205714578,40.97408401,43.98294551,34.24929982
19:26.5,West Williamland,French Guiana,27.32371776,451.5531551,-0.16078297,42.6979313,96.65259964,34.12426103
29:09.8,South David,Vietnam,12.30958059,422.4049835,-0.475931471,5.193341254,47.46793822,8.554563363
38:53.0,New Scottburgh,Moldova,13.21088506,410.4729986,1.135756628,78.69527968,61.7896717,8.001163673
48:36.3,South Nathan,Saint Helena,6.229326003,392.4733172,1.122209652,76.36833149,48.97388551,30.39890794
58:19.5,Port Richardfurt,Tuvalu,21.64673809,387.6484371,0.058471241,9.650388926,11.40228447,15.72094364
08:02.8,Adambury,Australia,19.73080012,448.180275,0.001415079,93.36075533,21.52634971,29.99349506
17:46.1,Williamsonberg,Qatar,19.85811441,379.6188201,0.584880621,6.218846318,30.8619489,37.51947246
27:29.3,North Thomas,Chad,14.12156291,410.5170724,-1.712224247,15.35158293,88.42279395,47.92252054
37:12.6,West Jillton,Fiji,6.095003072,360.8111784,-0.935059452,95.46176936,28.93254388,20.88834144
46:55.8,Robertville,Guernsey,12.28706409,488.3559377,0.021368052,11.83823602,90.04033902,30.43540964
56:39.1,Camposfort,Egypt,22.32453267,445.2089602,-1.028802304,48.77875857,83.40625181,1.833402039
06:22.4,Hughesville,Rwanda,15.788181,373.3412975,-2.061535883,13.36168293,56.94488537,23.38600799
16:05.6,Adammouth,Samoa,17.06097786,503.4508725,1.281869805,80.91894668,24.79688972,17.09447693
25:48.9,East Ricardomouth,Mongolia,7.164086323,447.6231963,-0.084660481,89.80802189,96.88787048,32.02683684
35:32.1,Port Robertborough,Equatorial Guinea,14.79934393,396.9978084,-1.086789668,23.28876446,37.69558959,41.68841462
45:15.4,South Natalieshire,Libyan Arab Jamahiriya,2.228858555,348.1042716,-0.030618348,64.63697079,21.77200392,46.22845711
54:58.6,Zacharyborough,Libyan Arab Jamahiriya,16.90189329,359.1717549,-0.135039901,15.51260918,84.10307772,25.93978594
04:41.9,Bakerburgh,Mali,10.87458927,415.6086326,1.218313975,57.99068057,15.76440672,10.09879663
14:25.2,Devinchester,Cocos (Keeling) Islands,13.81842848,343.2532726,0.54177023,14.36138788,8.28530788,13.80263717
24:08.4,Thompsonburgh,Bahrain,10.0269318,325.3115883,0.655937517,49.14687341,47.72895685,27.80018482
33:51.7,East Darlene,French Southern Territories,21.08214941,421.3042895,0.236962944,95.56628339,87.70152798,34.05023602
43:34.9,North Ericchester,Iceland,3.940120976,352.760749,0.798083153,1.999065402,14.40454842,8.346310034
53:18.2,West Annaview,Bahrain,12.94274256,350.0662307,0.396008383,78.50205436,17.55696719,11.85901906
03:01.5,Bartonhaven,Tajikistan,17.23297925,353.0930714,-2.232079073,48.07797656,3.925451783,40.52030307
12:44.7,Lake David,Norfolk Island,21.22103767,352.0088624,1.456739301,98.95365146,72.91148089,27.88960756
22:28.0,Angelicaview,Libyan Arab Jamahiriya,19.05912676,411.7331225,0.610910761,37.62045971,82.60715575,30.35893039
32:11.2,Alexischester,Bosnia and Herzegovina,15.55662842,397.7143158,-1.535181444,98.78284331,85.46321766,43.55801812
41:54.5,Williambury,Reunion,8.940554692,398.0278101,-0.733600499,41.27132981,7.689675894,43.44641627
51:37.7,Amandaville,Ethiopia,17.12078324,458.6236596,-0.2691909,56.93068598,27.74861701,10.2725212
01:21.0,Lake Glennmouth,Spain,11.05027576,404.9316306,0.716890844,18.45243466,48.60922123,24.62772955
11:04.3,Wagnerbury,Italy,9.442613181,370.561077,-1.251962984,86.96688711,83.43581277,8.076130313
20:47.5,Christopherside,Andorra,14.11227787,415.027263,-0.304871988,69.13522187,3.851053569,31.51594891
30:30.8,Hoffmanborough,Gibraltar,7.894868493,447.0534287,-0.234510057,49.21656811,46.00633434,49.95964579
40:14.0,Gordonfort,Monaco,19.79718644,481.7500806,-0.163166784,76.04414499,37.16814795,47.55326662
49:57.3,New Bobhaven,Comoros,17.93781928,458.0538052,-0.024024425,5.962754337,43.89037673,49.45909689
59:40.6,West Jeffrey,British Indian Ocean Territory (Chagos Archipelago),14.89574313,474.3180873,0.030541451,46.62674838,2.646945402,20.24760797
09:23.8,Duncanmouth,Czech Republic,13.52682085,446.9604141,0.437356925,42.72973912,5.076455995,39.37965189
19:07.1,Fieldsside,Iran,20.74140008,446.4020458,-0.038236117,88.33768572,44.07012922,45.16490106
28:50.3,Emmafort,Antigua and Barbuda,12.29042956,321.1354834,-0.445038606,74.77749763,58.72859892,16.64265691
38:33.6,East Davidshire,Seychelles,11.74020919,459.7139666,1.179214498,88.06951936,87.41136061,19.33378056
48:16.8,Port Austinchester,Slovenia,10.32526944,354.5349525,0.123929968,31.03894102,36.5061531,13.34657611
58:00.1,North Bryan,Gabon,7.511291129,379.7306481,1.986904928,34.07533377,82.34076027,15.98344312
07:43.4,Stewartbury,India,13.86378356,408.121863,-0.078811063,77.49866102,31.35600534,26.26412139
17:26.6,North Ryan,Chad,9.026524681,391.4395821,0.135980596,25.37810588,17.5044651,25.66667354
27:09.9,West Micheleland,Congo,19.85916521,316.2131333,0.836718616,90.8469614,7.654420066,13.05631953
