United States Billion-Dollar Disasters By Year (CPI-Adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost values are in billions of dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Drought Count,Drought Cost,Drought Lower 75,Drought Upper 75,Drought Lower 90,Drought Upper 90,Drought Lower 95,Drought Upper 95,Flooding Count,Flooding Cost,Flooding Lower 75,Flooding Upper 75,Flooding Lower 90,Flooding Upper 90,Flooding Lower 95,Flooding Upper 95,Freeze Count,Freeze Cost,Freeze Lower 75,Freeze Upper 75,Freeze Lower 90,Freeze Upper 90,Freeze Lower 95,Freeze Upper 95,Severe Storm Count,Severe Storm Cost,Severe Storm Lower 75,Severe Storm Upper 75,Severe Storm Lower 90,Severe Storm Upper 90,Severe Storm Lower 95,Severe Storm Upper 95,Tropical Cyclone Count,Tropical Cyclone Cost,Tropical Cyclone Lower 75,Tropical Cyclone Upper 75,Tropical Cyclone Lower 90,Tropical Cyclone Upper 90,Tropical Cyclone Lower 95,Tropical Cyclone Upper 95,Wildfire Count,Wildfire Cost,Wildfire Lower 75,Wildfire Upper 75,Wildfire Lower 90,Wildfire Upper 90,Wildfire Lower 95,Wildfire Upper 95,Winter Storm Count,Winter Storm Cost,Winter Storm Lower 75,Winter Storm Upper 75,Winter Storm Lower 90,Winter Storm Upper 90,Winter Storm Lower 95,Winter Storm Upper 95,All Disasters Count,All Disasters Cost,All Disasters Lower 75,All Disasters Upper 75,All Disasters Lower 90,All Disasters Upper 90,All Disasters Lower 95,All Disasters Upper 95,,
1980,1,38.9,31,46.6,28.7,48.9,27.5,50.1,1,2.6,1.5,3,1.5,3.7,1.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1,1.4,2.9,1.4,3.6,1.1,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43.6,33.9,52.5,31.6,56.2,29.7,58.9,,
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.7,2.1,1.4,2.4,1,2.8,1,1.3,1,1.3,0.7,1.7,0.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.3,2.7,3.4,2.1,4.1,1.7,4.8,,
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2.6,3.2,1.9,3.2,1.9,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1,1.6,2.2,1.3,2.6,0,3.2,3,5.1,4.2,5.4,3.2,5.8,1.9,7,,
1983,1,9.2,6.5,10.5,5.9,11.7,5.3,12.4,3,10.5,9.2,12.9,8.6,13.8,8,14.4,1,6.2,4.9,7.4,4.9,7.7,4.6,7.7,0,0,0,0,0,0,0,0,1,9,6.3,9,5.7,9.3,5.4,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34.9,26.9,39.8,25.1,42.5,23.3,44.1,,
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,3,3.6,2.4,3.9,2.4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,3,3.6,2.4,3.9,2.4,4.3,,
1985,0,0,0,0,0,0,0,0,1,3.9,2.5,4.4,2.2,4.7,2.2,5.3,1,3.4,2.9,3.7,2.6,4,2.3,4.3,1,1.7,1.4,1.7,1.1,2,1.1,2.2,3,10.2,6.6,10,6.2,10.9,5.6,11.4,0,0,0,0,0,0,0,0,1,2.4,2.6,2.6,2.3,2.9,2.3,2.9,7,21.6,16,22.4,14.4,24.5,13.5,26.1,,
1986,1,5,4.1,5.8,3.9,6.3,3.6,6.6,1,1.1,0.8,1.4,0.8,1.6,0.5,1.9,0,0,0,0,0,0,0,0,1,1.5,1.1,1.4,1.1,1.7,1.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.6,6,8.6,5.8,9.6,5.2,10.2,,
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1988,1,52.2,39.7,63.4,36.8,66.3,35.5,67.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.2,39.7,63.4,36.8,66.3,35.5,67.9,,
1989,1,7.5,6.5,8.7,6.2,9,6,9.2,0,0,0,0,0,0,0,0,1,5,3.7,6.2,3.7,6.2,3.5,6.5,1,1.3,1.2,1.5,1.2,1.5,1,1.7,2,23.1,20.7,24.4,20,25.3,19.6,25.8,0,0,0,0,0,0,0,0,1,1.6,1.4,1.9,1.4,1.9,1.4,2.2,6,38.5,33.5,42.7,32.5,43.9,31.5,45.4,,
1990,0,0,0,0,0,0,0,0,1,2.4,2.1,2.8,2.1,3,1.9,3,1,8.1,6.2,10,5.9,10.2,5.7,10.4,1,1.9,1.8,2.3,1.8,2.5,1.6,2.5,0,0,0,0,0,0,0,0,1,1.6,1.4,2.3,1.8,2.5,2.1,2.5,0,0,0,0,0,0,0,0,4,14,11.5,17.4,11.6,18.2,11.3,18.4,,
1991,1,6.7,6.7,8.7,6.5,9.2,6.3,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,1.3,1.6,1.1,1.8,1.1,1.8,1,3.3,2.9,4,2.7,4,2.4,4.2,1,7.3,5.7,8.4,5.5,8.8,5.1,9.2,0,0,0,0,0,0,0,0,4,18.7,16.6,22.7,15.8,23.8,14.9,24.6,,
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.8,6.2,7.8,6.2,8.5,5.6,8.5,2,64.4,57.6,69.9,55.4,72.4,54.4,73.8,0,0,0,0,0,0,0,0,1,5.3,4.7,5.8,4.5,6,4.5,6.2,7,76.5,68.5,83.5,66.1,86.9,64.5,88.5,,
1993,1,2.7,2.8,3.2,2.5,3.4,2.5,3.4,1,44.4,31.4,42.4,29.5,44.3,28.2,45.8,0,0,0,0,0,0,0,0,1,1.3,1,1.3,1,1.5,0.8,1.5,0,0,0,0,0,0,0,0,1,2.9,2.1,2.9,2.1,3.1,1.9,3.3,1,11.7,10.8,12.4,10.6,12.9,9.9,13.5,5,63,48.1,62.2,45.7,65.2,43.3,67.5,,
1994,0,0,0,0,0,0,0,0,1,2,2,2.8,1.8,3,1.8,3.2,0,0,0,0,0,0,0,0,1,2,1.8,2.1,1.8,2.3,1.6,2.3,1,2,1.8,2.4,1.6,2.4,1.6,2.4,1,1.5,1.2,1.8,1.2,1.8,1,2,2,8.3,7.2,9.1,7,9.3,6.8,9.3,6,15.8,14,18.2,13.4,18.8,12.8,19.2,,
